WL,WU,wc,L90_500,M60_350,H0_200
456,457,456.5,1.239E+13,4.512E+14,5.916E+14
457,458,457.5,1.246E+13,4.565E+14,5.980E+14
458,459,458.5,1.163E+13,4.286E+14,5.609E+14
459,460,459.5,1.185E+13,4.395E+14,5.746E+14
460,461,460.5,1.197E+13,4.463E+14,5.830E+14
461,462,461.5,1.230E+13,4.598E+14,6.000E+14
462,463,462.5,1.232E+13,4.599E+14,5.993E+14
463,464,463.5,1.220E+13,4.529E+14,5.893E+14
464,465,464.5,1.194E+13,4.399E+14,5.714E+14
465,466,465.5,1.228E+13,4.494E+14,5.829E+14
466,467,466.5,1.201E+13,4.383E+14,5.677E+14
467,468,467.5,1.247E+13,4.551E+14,5.887E+14
468,469,468.5,1.223E+13,4.476E+14,5.785E+14
469,470,469.5,1.242E+13,4.555E+14,5.882E+14
470,471,470.5,1.171E+13,4.294E+14,5.538E+14
471,472,471.5,1.230E+13,4.500E+14,5.797E+14
472,473,472.5,1.296E+13,4.724E+14,6.078E+14
473,474,473.5,1.234E+13,4.487E+14,5.766E+14
474,475,474.5,1.298E+13,4.720E+14,6.060E+14
475,476,475.5,1.275E+13,4.652E+14,5.968E+14
476,477,476.5,1.235E+13,4.535E+14,5.815E+14
477,478,477.5,1.310E+13,4.849E+14,6.214E+14
478,479,478.5,1.266E+13,4.732E+14,6.063E+14
479,480,479.5,1.270E+13,4.792E+14,6.138E+14
480,481,480.5,1.238E+13,4.714E+14,6.037E+14
481,482,481.5,1.261E+13,4.832E+14,6.184E+14
482,483,482.5,1.257E+13,4.816E+14,6.159E+14
483,484,483.5,1.239E+13,4.722E+14,6.032E+14
484,485,484.5,1.232E+13,4.648E+14,5.929E+14
485,486,485.5,1.195E+13,4.452E+14,5.670E+14
486,487,486.5,1.006E+13,3.706E+14,4.714E+14
487,488,487.5,1.182E+13,4.323E+14,5.491E+14
488,489,488.5,1.283E+13,4.674E+14,5.931E+14
489,490,489.5,1.280E+13,4.662E+14,5.912E+14
490,491,490.5,1.336E+13,4.866E+14,6.167E+14
491,492,491.5,1.293E+13,4.706E+14,5.959E+14
492,493,492.5,1.213E+13,4.398E+14,5.565E+14
493,494,493.5,1.316E+13,4.749E+14,6.004E+14
494,495,494.5,1.345E+13,4.828E+14,6.098E+14
495,496,495.5,1.306E+13,4.675E+14,5.900E+14
496,497,496.5,1.380E+13,4.936E+14,6.226E+14
497,498,497.5,1.363E+13,4.892E+14,6.168E+14
498,499,498.5,1.254E+13,4.532E+14,5.714E+14
499,500,499.5,1.316E+13,4.799E+14,6.053E+14
500,501,500.5,1.211E+13,4.466E+14,5.634E+14
501,502,501.5,1.186E+13,4.428E+14,5.588E+14
502,503,502.5,1.211E+13,4.576E+14,5.776E+14
503,504,503.5,1.251E+13,4.771E+14,6.025E+14
504,505,504.5,1.186E+13,4.547E+14,5.742E+14
505,506,505.5,1.233E+13,4.724E+14,5.964E+14
506,507,506.5,1.267E+13,4.823E+14,6.084E+14
507,508,507.5,1.262E+13,4.742E+14,5.974E+14
508,509,508.5,1.222E+13,4.523E+14,5.691E+14
509,510,509.5,1.319E+13,4.809E+14,6.043E+14
510,511,510.5,1.283E+13,4.617E+14,5.795E+14
511,512,511.5,1.355E+13,4.823E+14,6.049E+14
512,513,512.5,1.318E+13,4.661E+14,5.841E+14
513,514,513.5,1.320E+13,4.647E+14,5.822E+14
514,515,514.5,1.266E+13,4.442E+14,5.562E+14
515,516,515.5,1.349E+13,4.719E+14,5.907E+14
516,517,516.5,1.225E+13,4.270E+14,5.342E+14
517,518,517.5,1.191E+13,4.129E+14,5.165E+14
518,519,518.5,1.211E+13,4.180E+14,5.225E+14
519,520,519.5,1.314E+13,4.516E+14,5.644E+14
520,521,520.5,1.350E+13,4.626E+14,5.779E+14
521,522,521.5,1.377E+13,4.712E+14,5.887E+14
522,523,522.5,1.354E+13,4.639E+14,5.796E+14
523,524,523.5,1.376E+13,4.731E+14,5.912E+14
524,525,524.5,1.426E+13,4.928E+14,6.161E+14
525,526,525.5,1.389E+13,4.836E+14,6.049E+14
526,527,526.5,1.269E+13,4.450E+14,5.570E+14
527,528,527.5,1.246E+13,4.401E+14,5.511E+14
528,529,528.5,1.348E+13,4.797E+14,6.012E+14
529,530,529.5,1.364E+13,4.884E+14,6.123E+14
530,531,530.5,1.368E+13,4.913E+14,6.162E+14
531,532,531.5,1.391E+13,5.003E+14,6.276E+14
532,533,532.5,1.286E+13,4.611E+14,5.784E+14
533,534,533.5,1.361E+13,4.846E+14,6.077E+14
534,535,534.5,1.351E+13,4.760E+14,5.966E+14
535,536,535.5,1.436E+13,4.998E+14,6.259E+14
536,537,536.5,1.421E+13,4.872E+14,6.098E+14
537,538,537.5,1.411E+13,4.775E+14,5.971E+14
538,539,538.5,1.474E+13,4.931E+14,6.162E+14
539,540,539.5,1.420E+13,4.713E+14,5.888E+14
540,541,540.5,1.416E+13,4.677E+14,5.843E+14
541,542,541.5,1.464E+13,4.819E+14,6.021E+14
542,543,542.5,1.498E+13,4.915E+14,6.135E+14
543,544,543.5,1.454E+13,4.758E+14,5.945E+14
